institute,date,party,votes
emnid,2003-09-18,LINKE,NA
emnid,2003-09-18,PIRATEN,NA
emnid,2003-09-18,AfD,NA
emnid,2003-09-11,CDU/CSU,0.46
emnid,2003-09-11,SPD,0.29
emnid,2003-09-11,GRÜNE,0.1
emnid,2003-09-11,FDP,0.07
emnid,2003-09-11,PDS,0.05
emnid,2003-09-11,Rechte,NA
emnid,2003-09-11,Sonstige,0.03
emnid,2003-09-11,Linke.PDS,NA
emnid,2003-09-11,LINKE,NA
emnid,2003-09-11,PIRATEN,NA
emnid,2003-09-11,AfD,NA
emnid,2003-09-04,CDU/CSU,0.44
emnid,2003-09-04,SPD,0.31
emnid,2003-09-04,GRÜNE,0.11
emnid,2003-09-04,FDP,0.06
emnid,2003-09-04,PDS,0.05
emnid,2003-09-04,Rechte,NA
emnid,2003-09-04,Sonstige,0.03
emnid,2003-09-04,Linke.PDS,NA
emnid,2003-09-04,LINKE,NA
emnid,2003-09-04,PIRATEN,NA
emnid,2003-09-04,AfD,NA
emnid,2003-08-28,CDU/CSU,0.45
emnid,2003-08-28,SPD,0.3
emnid,2003-08-28,GRÜNE,0.11
emnid,2003-08-28,FDP,0.07
emnid,2003-08-28,PDS,0.04
emnid,2003-08-28,Rechte,NA
emnid,2003-08-28,Sonstige,0.03
emnid,2003-08-28,Linke.PDS,NA
emnid,2003-08-28,LINKE,NA
emnid,2003-08-28,PIRATEN,NA
emnid,2003-08-28,AfD,NA
emnid,2003-08-21,CDU/CSU,0.44
emnid,2003-08-21,SPD,0.31
emnid,2003-08-21,GRÜNE,0.1
emnid,2003-08-21,FDP,0.07
emnid,2003-08-21,PDS,0.04
emnid,2003-08-21,Rechte,NA
emnid,2003-08-21,Sonstige,0.04
emnid,2003-08-21,Linke.PDS,NA
emnid,2003-08-21,LINKE,NA
emnid,2003-08-21,PIRATEN,NA
emnid,2003-08-21,AfD,NA
emnid,2003-08-14,CDU/CSU,0.45
emnid,2003-08-14,SPD,0.32
emnid,2003-08-14,GRÜNE,0.1
emnid,2003-08-14,FDP,0.06
emnid,2003-08-14,PDS,0.05
emnid,2003-08-14,Rechte,NA
emnid,2003-08-14,Sonstige,0.02
emnid,2003-08-14,Linke.PDS,NA
emnid,2003-08-14,LINKE,NA
emnid,2003-08-14,PIRATEN,NA
emnid,2003-08-14,AfD,NA
emnid,2003-08-07,CDU/CSU,0.44
emnid,2003-08-07,SPD,0.31
emnid,2003-08-07,GRÜNE,0.1
emnid,2003-08-07,FDP,0.07
emnid,2003-08-07,PDS,0.05
emnid,2003-08-07,Rechte,NA
emnid,2003-08-07,Sonstige,0.03
emnid,2003-08-07,Linke.PDS,NA
emnid,2003-08-07,LINKE,NA
emnid,2003-08-07,PIRATEN,NA
emnid,2003-08-07,AfD,NA
emnid,2003-07-31,CDU/CSU,0.45
emnid,2003-07-31,SPD,0.31
emnid,2003-07-31,GRÜNE,0.11
emnid,2003-07-31,FDP,0.07
emnid,2003-07-31,PDS,0.04
emnid,2003-07-31,Rechte,NA
emnid,2003-07-31,Sonstige,0.02
emnid,2003-07-31,Linke.PDS,NA
emnid,2003-07-31,LINKE,NA
emnid,2003-07-31,PIRATEN,NA
emnid,2003-07-31,AfD,NA
emnid,2003-07-31,CDU/CSU,0.45
emnid,2003-07-31,SPD,0.31
emnid,2003-07-31,GRÜNE,0.11
emnid,2003-07-31,FDP,0.07
emnid,2003-07-31,PDS,0.04
emnid,2003-07-31,Rechte,NA
emnid,2003-07-31,Sonstige,0.02
emnid,2003-07-31,Linke.PDS,NA
emnid,2003-07-31,LINKE,NA
emnid,2003-07-31,PIRATEN,NA
emnid,2003-07-31,AfD,NA
emnid,2003-07-24,CDU/CSU,0.45
emnid,2003-07-24,SPD,0.32
emnid,2003-07-24,GRÜNE,0.1
emnid,2003-07-24,FDP,0.06
emnid,2003-07-24,PDS,0.04
emnid,2003-07-24,Rechte,NA
emnid,2003-07-24,Sonstige,0.03
emnid,2003-07-24,Linke.PDS,NA
emnid,2003-07-24,LINKE,NA
emnid,2003-07-24,PIRATEN,NA
emnid,2003-07-24,AfD,NA
emnid,2003-07-17,CDU/CSU,0.44
emnid,2003-07-17,SPD,0.32
emnid,2003-07-17,GRÜNE,0.1
emnid,2003-07-17,FDP,0.07
emnid,2003-07-17,PDS,0.04
emnid,2003-07-17,Rechte,NA
emnid,2003-07-17,Sonstige,0.03
emnid,2003-07-17,Linke.PDS,NA
emnid,2003-07-17,LINKE,NA
emnid,2003-07-17,PIRATEN,NA
emnid,2003-07-17,AfD,NA
emnid,2003-07-10,CDU/CSU,0.45
emnid,2003-07-10,SPD,0.31
emnid,2003-07-10,GRÜNE,0.11
emnid,2003-07-10,FDP,0.06
emnid,2003-07-10,PDS,0.04
emnid,2003-07-10,Rechte,NA
emnid,2003-07-10,Sonstige,0.03
emnid,2003-07-10,Linke.PDS,NA
emnid,2003-07-10,LINKE,NA
emnid,2003-07-10,PIRATEN,NA
emnid,2003-07-10,AfD,NA
emnid,2003-07-03,CDU/CSU,0.46
emnid,2003-07-03,SPD,0.3
emnid,2003-07-03,GRÜNE,0.1
emnid,2003-07-03,FDP,0.06
emnid,2003-07-03,PDS,0.04
emnid,2003-07-03,Rechte,NA
emnid,2003-07-03,Sonstige,0.04
emnid,2003-07-03,Linke.PDS,NA
emnid,2003-07-03,LINKE,NA
emnid,2003-07-03,PIRATEN,NA
emnid,2003-07-03,AfD,NA
emnid,2003-06-26,CDU/CSU,0.45
emnid,2003-06-26,SPD,0.29
emnid,2003-06-26,GRÜNE,0.11
emnid,2003-06-26,FDP,0.07
emnid,2003-06-26,PDS,0.04
emnid,2003-06-26,Rechte,NA
emnid,2003-06-26,Sonstige,0.04
emnid,2003-06-26,Linke.PDS,NA
emnid,2003-06-26,LINKE,NA
emnid,2003-06-26,PIRATEN,NA
emnid,2003-06-26,AfD,NA
emnid,2003-06-19,CDU/CSU,0.46
emnid,2003-06-19,SPD,0.3
emnid,2003-06-19,GRÜNE,0.1
emnid,2003-06-19,FDP,0.06
emnid,2003-06-19,PDS,0.04
emnid,2003-06-19,Rechte,NA
emnid,2003-06-19,Sonstige,0.04
emnid,2003-06-19,Linke.PDS,NA
emnid,2003-06-19,LINKE,NA
emnid,2003-06-19,PIRATEN,NA
emnid,2003-06-19,AfD,NA
emnid,2003-06-12,CDU/CSU,0.46
emnid,2003-06-12,SPD,0.3
emnid,2003-06-12,GRÜNE,0.1
emnid,2003-06-12,FDP,0.07
emnid,2003-06-12,PDS,0.04
emnid,2003-06-12,Rechte,NA
emnid,2003-06-12,Sonstige,0.03
emnid,2003-06-12,Linke.PDS,NA
emnid,2003-06-12,LINKE,NA
emnid,2003-06-12,PIRATEN,NA
emnid,2003-06-12,AfD,NA
emnid,2003-06-05,CDU/CSU,0.48
emnid,2003-06-05,SPD,0.27
emnid,2003-06-05,GRÜNE,0.1
emnid,2003-06-05,FDP,0.07
emnid,2003-06-05,PDS,0.04
emnid,2003-06-05,Rechte,NA
emnid,2003-06-05,Sonstige,0.04
emnid,2003-06-05,Linke.PDS,NA
emnid,2003-06-05,LINKE,NA
emnid,2003-06-05,PIRATEN,NA
emnid,2003-06-05,AfD,NA
emnid,2003-05-29,CDU/CSU,0.47
emnid,2003-05-29,SPD,0.27
emnid,2003-05-29,GRÜNE,0.11
emnid,2003-05-29,FDP,0.08
emnid,2003-05-29,PDS,0.04
emnid,2003-05-29,Rechte,NA
emnid,2003-05-29,Sonstige,0.03
emnid,2003-05-29,Linke.PDS,NA
emnid,2003-05-29,LINKE,NA
emnid,2003-05-29,PIRATEN,NA
emnid,2003-05-29,AfD,NA
emnid,2003-05-22,CDU/CSU,0.49
emnid,2003-05-22,SPD,0.26
emnid,2003-05-22,GRÜNE,0.11
emnid,2003-05-22,FDP,0.06
emnid,2003-05-22,PDS,0.05
emnid,2003-05-22,Rechte,NA
emnid,2003-05-22,Sonstige,0.03
emnid,2003-05-22,Linke.PDS,NA
emnid,2003-05-22,LINKE,NA
emnid,2003-05-22,PIRATEN,NA
emnid,2003-05-22,AfD,NA
emnid,2003-05-15,CDU/CSU,0.48
emnid,2003-05-15,SPD,0.26
emnid,2003-05-15,GRÜNE,0.12
emnid,2003-05-15,FDP,0.06
emnid,2003-05-15,PDS,0.05
emnid,2003-05-15,Rechte,NA
emnid,2003-05-15,Sonstige,0.03
emnid,2003-05-15,Linke.PDS,NA
emnid,2003-05-15,LINKE,NA
emnid,2003-05-15,PIRATEN,NA
emnid,2003-05-15,AfD,NA
emnid,2003-05-08,CDU/CSU,0.47
emnid,2003-05-08,SPD,0.27
emnid,2003-05-08,GRÜNE,0.11
emnid,2003-05-08,FDP,0.07
emnid,2003-05-08,PDS,0.05
emnid,2003-05-08,Rechte,NA
emnid,2003-05-08,Sonstige,0.03
emnid,2003-05-08,Linke.PDS,NA
emnid,2003-05-08,LINKE,NA
emnid,2003-05-08,PIRATEN,NA
emnid,2003-05-08,AfD,NA
emnid,2003-05-01,CDU/CSU,0.46
emnid,2003-05-01,SPD,0.29
emnid,2003-05-01,GRÜNE,0.11
emnid,2003-05-01,FDP,0.07
emnid,2003-05-01,PDS,0.05
emnid,2003-05-01,Rechte,NA
emnid,2003-05-01,Sonstige,0.02
emnid,2003-05-01,Linke.PDS,NA
emnid,2003-05-01,LINKE,NA
emnid,2003-05-01,PIRATEN,NA
emnid,2003-05-01,AfD,NA
emnid,2003-04-24,CDU/CSU,0.47
emnid,2003-04-24,SPD,0.3
emnid,2003-04-24,GRÜNE,0.1
emnid,2003-04-24,FDP,0.07
emnid,2003-04-24,PDS,0.04
emnid,2003-04-24,Rechte,NA
emnid,2003-04-24,Sonstige,0.02
emnid,2003-04-24,Linke.PDS,NA
emnid,2003-04-24,LINKE,NA
emnid,2003-04-24,PIRATEN,NA
emnid,2003-04-24,AfD,NA
emnid,2003-04-17,CDU/CSU,0.44
emnid,2003-04-17,SPD,0.32
emnid,2003-04-17,GRÜNE,0.1
emnid,2003-04-17,FDP,0.07
emnid,2003-04-17,PDS,0.04
emnid,2003-04-17,Rechte,NA
emnid,2003-04-17,Sonstige,0.03
emnid,2003-04-17,Linke.PDS,NA
emnid,2003-04-17,LINKE,NA
emnid,2003-04-17,PIRATEN,NA
emnid,2003-04-17,AfD,NA
emnid,2003-04-10,CDU/CSU,0.46
emnid,2003-04-10,SPD,0.31
emnid,2003-04-10,GRÜNE,0.11
emnid,2003-04-10,FDP,0.06
emnid,2003-04-10,PDS,0.04
emnid,2003-04-10,Rechte,NA
emnid,2003-04-10,Sonstige,0.02
emnid,2003-04-10,Linke.PDS,NA
emnid,2003-04-10,LINKE,NA
emnid,2003-04-10,PIRATEN,NA
emnid,2003-04-10,AfD,NA
emnid,2003-04-04,CDU/CSU,0.45
emnid,2003-04-04,SPD,0.32
emnid,2003-04-04,GRÜNE,0.11
emnid,2003-04-04,FDP,0.06
emnid,2003-04-04,PDS,0.04
emnid,2003-04-04,Rechte,NA
emnid,2003-04-04,Sonstige,0.02
emnid,2003-04-04,Linke.PDS,NA
emnid,2003-04-04,LINKE,NA
emnid,2003-04-04,PIRATEN,NA
emnid,2003-04-04,AfD,NA
emnid,2003-03-28,CDU/CSU,0.46
emnid,2003-03-28,SPD,0.3
emnid,2003-03-28,GRÜNE,0.11
emnid,2003-03-28,FDP,0.07
emnid,2003-03-28,PDS,0.04
emnid,2003-03-28,Rechte,NA
emnid,2003-03-28,Sonstige,0.02
emnid,2003-03-28,Linke.PDS,NA
emnid,2003-03-28,LINKE,NA
emnid,2003-03-28,PIRATEN,NA
emnid,2003-03-28,AfD,NA
emnid,2003-03-21,CDU/CSU,0.48
emnid,2003-03-21,SPD,0.28
emnid,2003-03-21,GRÜNE,0.11
emnid,2003-03-21,FDP,0.07
emnid,2003-03-21,PDS,0.04
emnid,2003-03-21,Rechte,NA
emnid,2003-03-21,Sonstige,0.02
emnid,2003-03-21,Linke.PDS,NA
emnid,2003-03-21,LINKE,NA
emnid,2003-03-21,PIRATEN,NA
emnid,2003-03-21,AfD,NA
emnid,2003-03-13,CDU/CSU,0.47
emnid,2003-03-13,SPD,0.27
emnid,2003-03-13,GRÜNE,0.11
emnid,2003-03-13,FDP,0.07
emnid,2003-03-13,PDS,0.04
emnid,2003-03-13,Rechte,NA
emnid,2003-03-13,Sonstige,0.04
emnid,2003-03-13,Linke.PDS,NA
emnid,2003-03-13,LINKE,NA
emnid,2003-03-13,PIRATEN,NA
emnid,2003-03-13,AfD,NA
emnid,2003-03-06,CDU/CSU,0.47
emnid,2003-03-06,SPD,0.28
emnid,2003-03-06,GRÜNE,0.11
emnid,2003-03-06,FDP,0.07
emnid,2003-03-06,PDS,0.04
emnid,2003-03-06,Rechte,NA
emnid,2003-03-06,Sonstige,0.03
emnid,2003-03-06,Linke.PDS,NA
emnid,2003-03-06,LINKE,NA
emnid,2003-03-06,PIRATEN,NA
emnid,2003-03-06,AfD,NA
emnid,2003-02-28,CDU/CSU,0.47
emnid,2003-02-28,SPD,0.28
emnid,2003-02-28,GRÜNE,0.11
emnid,2003-02-28,FDP,0.07
emnid,2003-02-28,PDS,0.04
emnid,2003-02-28,Rechte,NA
emnid,2003-02-28,Sonstige,0.03
emnid,2003-02-28,Linke.PDS,NA
emnid,2003-02-28,LINKE,NA
emnid,2003-02-28,PIRATEN,NA
emnid,2003-02-28,AfD,NA
emnid,2003-02-20,CDU/CSU,0.48
emnid,2003-02-20,SPD,0.28
emnid,2003-02-20,GRÜNE,0.11
emnid,2003-02-20,FDP,0.07
emnid,2003-02-20,PDS,0.04
emnid,2003-02-20,Rechte,NA
emnid,2003-02-20,Sonstige,0.02
emnid,2003-02-20,Linke.PDS,NA
emnid,2003-02-20,LINKE,NA
emnid,2003-02-20,PIRATEN,NA
emnid,2003-02-20,AfD,NA
emnid,2003-02-13,CDU/CSU,0.49
emnid,2003-02-13,SPD,0.27
emnid,2003-02-13,GRÜNE,0.11
emnid,2003-02-13,FDP,0.07
emnid,2003-02-13,PDS,0.04
emnid,2003-02-13,Rechte,NA
emnid,2003-02-13,Sonstige,0.02
emnid,2003-02-13,Linke.PDS,NA
emnid,2003-02-13,LINKE,NA
emnid,2003-02-13,PIRATEN,NA
emnid,2003-02-13,AfD,NA
emnid,2003-02-06,CDU/CSU,0.48
emnid,2003-02-06,SPD,0.29
emnid,2003-02-06,GRÜNE,0.1
emnid,2003-02-06,FDP,0.06
emnid,2003-02-06,PDS,0.04
emnid,2003-02-06,Rechte,NA
emnid,2003-02-06,Sonstige,0.03
emnid,2003-02-06,Linke.PDS,NA
emnid,2003-02-06,LINKE,NA
emnid,2003-02-06,PIRATEN,NA
emnid,2003-02-06,AfD,NA
emnid,2003-01-30,CDU/CSU,0.47
emnid,2003-01-30,SPD,0.3
emnid,2003-01-30,GRÜNE,0.1
emnid,2003-01-30,FDP,0.06
emnid,2003-01-30,PDS,0.04
emnid,2003-01-30,Rechte,NA
emnid,2003-01-30,Sonstige,0.03
emnid,2003-01-30,Linke.PDS,NA
emnid,2003-01-30,LINKE,NA
emnid,2003-01-30,PIRATEN,NA
emnid,2003-01-30,AfD,NA
emnid,2003-01-23,CDU/CSU,0.47
emnid,2003-01-23,SPD,0.31
emnid,2003-01-23,GRÜNE,0.09
emnid,2003-01-23,FDP,0.06
emnid,2003-01-23,PDS,0.04
emnid,2003-01-23,Rechte,NA
emnid,2003-01-23,Sonstige,0.03
emnid,2003-01-23,Linke.PDS,NA
emnid,2003-01-23,LINKE,NA
emnid,2003-01-23,PIRATEN,NA
emnid,2003-01-23,AfD,NA
emnid,2003-01-16,CDU/CSU,0.48
emnid,2003-01-16,SPD,0.29
emnid,2003-01-16,GRÜNE,0.1
emnid,2003-01-16,FDP,0.06
emnid,2003-01-16,PDS,0.04
emnid,2003-01-16,Rechte,NA
emnid,2003-01-16,Sonstige,0.03
emnid,2003-01-16,Linke.PDS,NA
emnid,2003-01-16,LINKE,NA
emnid,2003-01-16,PIRATEN,NA
emnid,2003-01-16,AfD,NA
emnid,2003-01-09,CDU/CSU,0.47
emnid,2003-01-09,SPD,0.3
emnid,2003-01-09,GRÜNE,0.1
emnid,2003-01-09,FDP,0.06
emnid,2003-01-09,PDS,0.04
emnid,2003-01-09,Rechte,NA
emnid,2003-01-09,Sonstige,0.03
emnid,2003-01-09,Linke.PDS,NA
emnid,2003-01-09,LINKE,NA
emnid,2003-01-09,PIRATEN,NA
emnid,2003-01-09,AfD,NA
emnid,2003-01-03,CDU/CSU,0.48
emnid,2003-01-03,SPD,0.29
emnid,2003-01-03,GRÜNE,0.1
emnid,2003-01-03,FDP,0.05
emnid,2003-01-03,PDS,0.05
emnid,2003-01-03,Rechte,NA
emnid,2003-01-03,Sonstige,0.03
emnid,2003-01-03,Linke.PDS,NA
emnid,2003-01-03,LINKE,NA
emnid,2003-01-03,PIRATEN,NA
emnid,2003-01-03,AfD,NA
emnid,2004-12-08,CDU/CSU,0.4
emnid,2004-12-08,SPD,0.31
emnid,2004-12-08,GRÜNE,0.11
emnid,2004-12-08,FDP,0.07
emnid,2004-12-08,PDS,0.06
emnid,2004-12-08,Rechte,NA
emnid,2004-12-08,Sonstige,0.05
emnid,2004-12-08,Linke.PDS,NA
emnid,2004-12-08,LINKE,NA
emnid,2004-12-08,PIRATEN,NA
emnid,2004-12-08,AfD,NA
emnid,2004-12-01,CDU/CSU,0.39
emnid,2004-12-01,SPD,0.31
emnid,2004-12-01,GRÜNE,0.11
emnid,2004-12-01,FDP,0.08
emnid,2004-12-01,PDS,0.06
emnid,2004-12-01,Rechte,NA
emnid,2004-12-01,Sonstige,0.05
emnid,2004-12-01,Linke.PDS,NA
emnid,2004-12-01,LINKE,NA
emnid,2004-12-01,PIRATEN,NA
emnid,2004-12-01,AfD,NA
emnid,2004-11-24,CDU/CSU,0.38
emnid,2004-11-24,SPD,0.32
emnid,2004-11-24,GRÜNE,0.12
emnid,2004-11-24,FDP,0.07
emnid,2004-11-24,PDS,0.06
emnid,2004-11-24,Rechte,NA
emnid,2004-11-24,Sonstige,0.05
emnid,2004-11-24,Linke.PDS,NA
emnid,2004-11-24,LINKE,NA
emnid,2004-11-24,PIRATEN,NA
emnid,2004-11-24,AfD,NA
emnid,2004-11-17,CDU/CSU,0.39
emnid,2004-11-17,SPD,0.31
emnid,2004-11-17,GRÜNE,0.11
emnid,2004-11-17,FDP,0.08
emnid,2004-11-17,PDS,0.06
emnid,2004-11-17,Rechte,NA
emnid,2004-11-17,Sonstige,0.05
emnid,2004-11-17,Linke.PDS,NA
emnid,2004-11-17,LINKE,NA
emnid,2004-11-17,PIRATEN,NA
emnid,2004-11-17,AfD,NA
emnid,2004-11-10,CDU/CSU,0.39
emnid,2004-11-10,SPD,0.31
emnid,2004-11-10,GRÜNE,0.12
emnid,2004-11-10,FDP,0.07
emnid,2004-11-10,PDS,0.06
emnid,2004-11-10,Rechte,NA
emnid,2004-11-10,Sonstige,0.05
emnid,2004-11-10,Linke.PDS,NA
emnid,2004-11-10,LINKE,NA
emnid,2004-11-10,PIRATEN,NA
emnid,2004-11-10,AfD,NA
emnid,2004-11-03,CDU/CSU,0.39
emnid,2004-11-03,SPD,0.31
emnid,2004-11-03,GRÜNE,0.12
emnid,2004-11-03,FDP,0.08
emnid,2004-11-03,PDS,0.06
emnid,2004-11-03,Rechte,NA
emnid,2004-11-03,Sonstige,0.04
emnid,2004-11-03,Linke.PDS,NA
emnid,2004-11-03,LINKE,NA
emnid,2004-11-03,PIRATEN,NA
emnid,2004-11-03,AfD,NA
emnid,2004-10-27,CDU/CSU,0.39
emnid,2004-10-27,SPD,0.31
emnid,2004-10-27,GRÜNE,0.12
emnid,2004-10-27,FDP,0.07
emnid,2004-10-27,PDS,0.06
emnid,2004-10-27,Rechte,NA
emnid,2004-10-27,Sonstige,0.05
emnid,2004-10-27,Linke.PDS,NA
emnid,2004-10-27,LINKE,NA
emnid,2004-10-27,PIRATEN,NA
emnid,2004-10-27,AfD,NA
emnid,2004-10-19,CDU/CSU,0.4
emnid,2004-10-19,SPD,0.29
emnid,2004-10-19,GRÜNE,0.12
emnid,2004-10-19,FDP,0.08
emnid,2004-10-19,PDS,0.06
emnid,2004-10-19,Rechte,NA
emnid,2004-10-19,Sonstige,0.05
emnid,2004-10-19,Linke.PDS,NA
emnid,2004-10-19,LINKE,NA
emnid,2004-10-19,PIRATEN,NA
emnid,2004-10-19,AfD,NA
emnid,2004-10-13,CDU/CSU,0.4
emnid,2004-10-13,SPD,0.28
emnid,2004-10-13,GRÜNE,0.12
emnid,2004-10-13,FDP,0.08
emnid,2004-10-13,PDS,0.07
emnid,2004-10-13,Rechte,NA
emnid,2004-10-13,Sonstige,0.05
emnid,2004-10-13,Linke.PDS,NA
emnid,2004-10-13,LINKE,NA
emnid,2004-10-13,PIRATEN,NA
emnid,2004-10-13,AfD,NA
emnid,NA,CDU/CSU,0.38
emnid,NA,SPD,0.29
emnid,NA,GRÜNE,0.11
emnid,NA,FDP,0.09
emnid,NA,PDS,0.07
emnid,NA,Rechte,NA
emnid,NA,Sonstige,0.06
emnid,NA,Linke.PDS,NA
emnid,NA,LINKE,NA
emnid,NA,PIRATEN,NA
emnid,NA,AfD,NA
emnid,NA,CDU/CSU,0.4
emnid,NA,SPD,0.28
emnid,NA,GRÜNE,0.11
emnid,NA,FDP,0.07
emnid,NA,PDS,0.08
emnid,NA,Rechte,NA
emnid,NA,Sonstige,0.06
emnid,NA,Linke.PDS,NA
emnid,NA,LINKE,NA
emnid,NA,PIRATEN,NA
emnid,NA,AfD,NA
emnid,NA,CDU/CSU,0.42
emnid,NA,SPD,0.26
emnid,NA,GRÜNE,0.11
emnid,NA,FDP,0.07
emnid,NA,PDS,0.07
emnid,NA,Rechte,NA
emnid,NA,Sonstige,0.07
emnid,NA,Linke.PDS,NA
emnid,NA,LINKE,NA
emnid,NA,PIRATEN,NA
emnid,NA,AfD,NA
emnid,NA,CDU/CSU,0.42
emnid,NA,SPD,0.25
emnid,NA,GRÜNE,0.11
emnid,NA,FDP,0.08
emnid,NA,PDS,0.08
emnid,NA,Rechte,NA
emnid,NA,Sonstige,0.06
emnid,NA,Linke.PDS,NA
emnid,NA,LINKE,NA
emnid,NA,PIRATEN,NA
emnid,NA,AfD,NA
emnid,NA,CDU/CSU,0.42
emnid,NA,SPD,0.25
emnid,NA,GRÜNE,0.12
emnid,NA,FDP,0.07
emnid,NA,PDS,0.08
emnid,NA,Rechte,NA
emnid,NA,Sonstige,0.06
emnid,NA,Linke.PDS,NA
emnid,NA,LINKE,NA
emnid,NA,PIRATEN,NA
emnid,NA,AfD,NA
emnid,2004-08-19,CDU/CSU,0.42
emnid,2004-08-19,SPD,0.23
emnid,2004-08-19,GRÜNE,0.13
emnid,2004-08-19,FDP,0.09
emnid,2004-08-19,PDS,0.08
emnid,2004-08-19,Rechte,NA
emnid,2004-08-19,Sonstige,0.05
emnid,2004-08-19,Linke.PDS,NA
emnid,2004-08-19,LINKE,NA
emnid,2004-08-19,PIRATEN,NA
emnid,2004-08-19,AfD,NA
emnid,2004-08-12,CDU/CSU,0.43
emnid,2004-08-12,SPD,0.25
emnid,2004-08-12,GRÜNE,0.12
emnid,2004-08-12,FDP,0.08
emnid,2004-08-12,PDS,0.07
emnid,2004-08-12,Rechte,NA
emnid,2004-08-12,Sonstige,0.05
emnid,2004-08-12,Linke.PDS,NA
emnid,2004-08-12,LINKE,NA
emnid,2004-08-12,PIRATEN,NA
emnid,2004-08-12,AfD,NA
emnid,2004-08-05,CDU/CSU,0.43
emnid,2004-08-05,SPD,0.25
emnid,2004-08-05,GRÜNE,0.12
emnid,2004-08-05,FDP,0.08
emnid,2004-08-05,PDS,0.07
emnid,2004-08-05,Rechte,NA
emnid,2004-08-05,Sonstige,0.05
emnid,2004-08-05,Linke.PDS,NA
emnid,2004-08-05,LINKE,NA
emnid,2004-08-05,PIRATEN,NA
emnid,2004-08-05,AfD,NA
emnid,2004-07-29,CDU/CSU,0.45
emnid,2004-07-29,SPD,0.24
emnid,2004-07-29,GRÜNE,0.13
emnid,2004-07-29,FDP,0.07
emnid,2004-07-29,PDS,0.06
emnid,2004-07-29,Rechte,NA
emnid,2004-07-29,Sonstige,0.05
emnid,2004-07-29,Linke.PDS,NA
emnid,2004-07-29,LINKE,NA
emnid,2004-07-29,PIRATEN,NA
emnid,2004-07-29,AfD,NA
emnid,2004-07-22,CDU/CSU,0.44
emnid,2004-07-22,SPD,0.24
emnid,2004-07-22,GRÜNE,0.13
emnid,2004-07-22,FDP,0.08
emnid,2004-07-22,PDS,0.06
emnid,2004-07-22,Rechte,NA
emnid,2004-07-22,Sonstige,0.05
emnid,2004-07-22,Linke.PDS,NA
emnid,2004-07-22,LINKE,NA
emnid,2004-07-22,PIRATEN,NA
emnid,2004-07-22,AfD,NA
emnid,2004-07-15,CDU/CSU,0.45
emnid,2004-07-15,SPD,0.25
emnid,2004-07-15,GRÜNE,0.12
emnid,2004-07-15,FDP,0.08
emnid,2004-07-15,PDS,0.06
emnid,2004-07-15,Rechte,NA
emnid,2004-07-15,Sonstige,0.04
emnid,2004-07-15,Linke.PDS,NA
emnid,2004-07-15,LINKE,NA
emnid,2004-07-15,PIRATEN,NA
emnid,2004-07-15,AfD,NA
emnid,2004-07-08,CDU/CSU,0.45
emnid,2004-07-08,SPD,0.24
emnid,2004-07-08,GRÜNE,0.13
emnid,2004-07-08,FDP,0.08
emnid,2004-07-08,PDS,0.06
emnid,2004-07-08,Rechte,NA
emnid,2004-07-08,Sonstige,0.04
emnid,2004-07-08,Linke.PDS,NA
emnid,2004-07-08,LINKE,NA
emnid,2004-07-08,PIRATEN,NA
emnid,2004-07-08,AfD,NA
emnid,2004-07-01,CDU/CSU,0.45
emnid,2004-07-01,SPD,0.25
emnid,2004-07-01,GRÜNE,0.13
emnid,2004-07-01,FDP,0.07
emnid,2004-07-01,PDS,0.06
emnid,2004-07-01,Rechte,NA
emnid,2004-07-01,Sonstige,0.04
emnid,2004-07-01,Linke.PDS,NA
emnid,2004-07-01,LINKE,NA
emnid,2004-07-01,PIRATEN,NA
emnid,2004-07-01,AfD,NA
emnid,2004-06-24,CDU/CSU,0.45
emnid,2004-06-24,SPD,0.25
emnid,2004-06-24,GRÜNE,0.12
emnid,2004-06-24,FDP,0.08
emnid,2004-06-24,PDS,0.06
emnid,2004-06-24,Rechte,NA
emnid,2004-06-24,Sonstige,0.04
emnid,2004-06-24,Linke.PDS,NA
emnid,2004-06-24,LINKE,NA
emnid,2004-06-24,PIRATEN,NA
emnid,2004-06-24,AfD,NA
emnid,2004-06-17,CDU/CSU,0.47
emnid,2004-06-17,SPD,0.26
emnid,2004-06-17,GRÜNE,0.11
emnid,2004-06-17,FDP,0.07
emnid,2004-06-17,PDS,0.05
emnid,2004-06-17,Rechte,NA
emnid,2004-06-17,Sonstige,0.04
emnid,2004-06-17,Linke.PDS,NA
emnid,2004-06-17,LINKE,NA
emnid,2004-06-17,PIRATEN,NA
emnid,2004-06-17,AfD,NA
emnid,2004-06-11,CDU/CSU,0.48
emnid,2004-06-11,SPD,0.27
emnid,2004-06-11,GRÜNE,0.1
emnid,2004-06-11,FDP,0.07
emnid,2004-06-11,PDS,0.05
emnid,2004-06-11,Rechte,NA
emnid,2004-06-11,Sonstige,0.03
emnid,2004-06-11,Linke.PDS,NA
emnid,2004-06-11,LINKE,NA
emnid,2004-06-11,PIRATEN,NA
emnid,2004-06-11,AfD,NA
emnid,2004-06-04,CDU/CSU,0.47
emnid,2004-06-04,SPD,0.26
emnid,2004-06-04,GRÜNE,0.11
emnid,2004-06-04,FDP,0.07
emnid,2004-06-04,PDS,0.05
emnid,2004-06-04,Rechte,NA
emnid,2004-06-04,Sonstige,0.04
emnid,2004-06-04,Linke.PDS,NA
